Coor_X,Coor_Y,Coor_Z
73.268,29.287,98.987
72.819,29.399,98.703
72.048,29.77,98.695
71.686,30.036,99.063
75.593,35.654,99.103
75.129,35.674,98.724
74.357,35.927,98.729
73.963,36.056,99.115
77.882,41.622,99.162
77.369,41.755,98.742
76.618,41.989,98.759
76.129,42.075,99.189
80.419,48.294,99.254
79.854,48.431,98.788
79.101,48.669,98.789
78.566,48.812,99.27
82.63,54.075,99.336
82.106,54.381,98.787
81.218,54.467,98.809
80.684,54.578,99.318
85.429,61.993,99.407
84.895,62.248,98.857
84.204,62.679,98.861
83.616,62.886,99.407
